# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2018-06-10 12:45:34 EDT       (nadww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 294643095035200 Lynchburg Res nr CWA Canal Inflow nr Baytown, TX
# -----------------------------------------------------------------------------------
#
# Data provided for site 294643095035200
#            TS   parameter     Description
#        163507       00010     Temperature, water, degrees Celsius
#        163508       00095     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius
#        163509       00400     pH, water, unfiltered, field, standard units
#        163510       63680     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU)
#        163511       00300     Dissolved oxygen, water, unfiltered, milligrams per liter
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	tz_cd	163507_00010	163507_00010_cd	163508_00095	163508_00095_cd	163509_00400	163509_00400_cd	163510_63680	163510_63680_cd	163511_00300	163511_00300_cd
USGS	294643095035200	2018-02-06 03:30	CST	12.8	A	324	A	7.8	A	20.7	A	10.3	A
USGS	294643095035200	2018-02-06 03:45	CST	12.8	A	325	A	7.8	A	19.5	A	10.3	A
USGS	294643095035200	2018-02-06 04:00	CST	12.8	A	324	A	7.8	A	20.3	A	10.3	A
USGS	294643095035200	2018-02-06 04:15	CST	12.8	A	325	A	7.8	A	20.3	A	10.3	A
USGS	294643095035200	2018-02-06 04:30	CST	12.8	A	325	A	7.8	A	19.6	A	10.3	A
USGS	294643095035200	2018-02-06 04:45	CST	12.8	A	325	A	7.8	A	20.4	A	10.3	A
USGS	294643095035200	2018-02-06 05:00	CST	12.8	A	325	A	7.8	A	19.9	A	10.3	A
USGS	294643095035200	2018-02-06 05:15	CST	12.8	A	325	A	7.8	A	19.5	A	10.3	A
USGS	294643095035200	2018-02-06 05:30	CST	12.8	A	325	A	7.8	A	19.4	A	10.3	A
USGS	294643095035200	2018-02-06 05:45	CST	12.8	A	325	A	7.8	A	20.0	A	10.3	A
USGS	294643095035200	2018-02-06 06:00	CST	12.8	A	325	A	7.8	A	19.5	A	10.3	A
USGS	294643095035200	2018-02-06 06:15	CST	12.8	A	325	A	7.8	A	18.9	A	10.3	A
USGS	294643095035200	2018-02-06 06:30	CST	12.8	A	325	A	7.8	A	19.6	A	10.3	A
USGS	294643095035200	2018-02-06 06:45	CST	12.8	A	326	A	7.8	A	19.8	A	10.3	A
USGS	294643095035200	2018-02-06 07:00	CST	12.8	A	325	A	7.8	A	20.0	A	10.3	A
USGS	294643095035200	2018-02-06 07:15	CST	12.8	A	325	A	7.8	A	19.4	A	10.3	A
USGS	294643095035200	2018-02-06 07:30	CST	12.8	A	325	A	7.8	A	19.2	A	10.3	A
USGS	294643095035200	2018-02-06 07:45	CST	12.8	A	326	A	7.8	A	19.3	A	10.3	A
USGS	294643095035200	2018-02-06 08:00	CST	12.8	A	326	A	7.8	A	20.5	A	10.3	A
USGS	294643095035200	2018-02-06 08:15	CST	12.8	A	326	A	7.8	A	19.9	A	10.3	A
USGS	294643095035200	2018-02-06 08:30	CST	12.8	A	326	A	7.8	A	19.2	A	10.3	A
USGS	294643095035200	2018-02-06 08:45	CST	12.8	A	326	A	7.8	A	19.3	A	10.3	A
USGS	294643095035200	2018-02-06 09:00	CST	12.8	A	326	A	7.8	A	19.7	A	10.2	A
USGS	294643095035200	2018-02-06 09:15	CST	12.8	A	326	A	7.8	A	19.8	A	10.3	A
USGS	294643095035200	2018-02-06 09:30	CST	12.8	A	326	A	7.8	A	19.9	A	10.2	A
USGS	294643095035200	2018-02-06 09:45	CST	12.8	A	326	A	7.8	A	19.7	A	10.2	A
USGS	294643095035200	2018-02-06 10:00	CST	12.9	A	326	A	7.8	A	19.4	A	10.2	A
USGS	294643095035200	2018-02-06 10:15	CST	12.8	A	326	A	7.8	A	19.4	A	10.2	A
USGS	294643095035200	2018-02-06 10:30	CST	12.9	A	326	A	7.8	A	19.4	A	10.3	A
USGS	294643095035200	2018-02-06 10:45	CST	12.9	A	326	A	7.8	A	19.3	A	10.3	A
USGS	294643095035200	2018-02-06 11:00	CST	12.9	A	325	A	7.8	A	19.6	A	10.3	A
USGS	294643095035200	2018-02-06 11:15	CST	12.9	A	325	A	7.8	A	18.9	A	10.3	A
USGS	294643095035200	2018-02-06 11:30	CST	12.9	A	326	A	7.8	A	19.2	A	10.3	A
USGS	294643095035200	2018-02-06 11:45	CST	13.0	A	326	A	7.8	A	18.6	A	10.3	A
USGS	294643095035200	2018-02-06 12:00	CST	13.0	A	326	A	7.8	A	18.7	A	10.3	A
USGS	294643095035200	2018-02-06 12:15	CST	13.0	A	326	A	7.8	A	18.6	A	10.3	A
USGS	294643095035200	2018-02-06 12:30	CST	13.0	A	326	A	7.8	A	18.9	A	10.3	A
USGS	294643095035200	2018-02-06 12:45	CST	13.0	A	326	A	7.8	A	18.4	A	10.3	A
USGS	294643095035200	2018-02-06 13:00	CST	13.0	A	326	A	7.8	A	18.7	A	10.3	A
USGS	294643095035200	2018-02-06 13:15	CST	13.1	A	326	A	7.8	A	18.9	A	10.3	A
USGS	294643095035200	2018-02-06 13:30	CST	13.0	A	326	A	7.8	A	18.9	A	10.3	A
USGS	294643095035200	2018-02-06 13:45	CST	13.0	A	326	A	7.8	A	19.3	A	10.2	A
USGS	294643095035200	2018-02-06 14:00	CST	13.1	A	327	A	7.8	A	19.6	A	10.3	A
USGS	294643095035200	2018-02-06 14:15	CST	13.1	A	327	A	7.8	A	19.4	A	10.3	A
USGS	294643095035200	2018-02-06 14:30	CST	13.2	A	327	A	7.8	A	19.1	A	10.3	A
USGS	294643095035200	2018-02-06 14:45	CST	13.2	A	327	A	7.8	A	19.0	A	10.3	A
USGS	294643095035200	2018-02-06 15:00	CST	13.1	A	326	A	7.8	A	18.8	A	10.3	A
USGS	294643095035200	2018-02-06 15:15	CST	13.2	A	327	A	7.8	A	19.0	A	10.3	A
USGS	294643095035200	2018-02-06 15:30	CST	13.2	A	327	A	7.8	A	19.1	A	10.3	A
USGS	294643095035200	2018-02-06 15:45	CST	13.2	A	327	A	7.8	A	19.4	A	10.3	A
USGS	294643095035200	2018-02-06 16:00	CST	13.3	A	327	A	7.8	A	19.2	A	10.3	A
USGS	294643095035200	2018-02-06 16:15	CST	13.3	A	327	A	7.8	A	19.1	A	10.4	A
USGS	294643095035200	2018-02-06 16:30	CST	13.3	A	327	A	7.8	A	18.8	A	10.4	A
USGS	294643095035200	2018-02-06 16:45	CST	13.3	A	327	A	7.8	A	19.1	A	10.4	A
USGS	294643095035200	2018-02-06 17:00	CST	13.3	A	327	A	7.8	A	18.9	A	10.3	A
USGS	294643095035200	2018-02-06 17:15	CST	13.4	A	327	A	7.8	A	18.7	A	10.3	A
USGS	294643095035200	2018-02-06 17:30	CST	13.4	A	327	A	7.8	A	20.5	A	10.3	A
USGS	294643095035200	2018-02-06 17:45	CST	13.4	A	327	A	7.8	A	18.7	A	10.3	A
USGS	294643095035200	2018-02-06 18:00	CST	13.4	A	328	A	7.8	A	19.4	A	10.3	A
USGS	294643095035200	2018-02-06 18:15	CST	13.4	A	327	A	7.8	A	19.6	A	10.3	A
USGS	294643095035200	2018-02-06 18:30	CST	13.4	A	328	A	7.8	A	19.2	A	10.3	A
USGS	294643095035200	2018-02-06 18:45	CST	13.4	A	328	A	7.8	A	19.7	A	10.3	A
USGS	294643095035200	2018-02-06 19:00	CST	13.4	A	328	A	7.8	A	19.5	A	10.3	A
USGS	294643095035200	2018-02-06 19:15	CST	13.4	A	328	A	7.8	A	19.8	A	10.3	A
USGS	294643095035200	2018-02-06 19:30	CST	13.4	A	328	A	7.8	A	19.0	A	10.2	A
USGS	294643095035200	2018-02-06 19:45	CST	13.4	A	329	A	7.8	A	19.3	A	10.3	A
USGS	294643095035200	2018-02-06 20:00	CST	13.4	A	329	A	7.8	A	18.9	A	10.2	A
USGS	294643095035200	2018-02-06 20:15	CST	13.4	A	329	A	7.8	A	19.0	A	10.2	A
USGS	294643095035200	2018-02-06 20:30	CST	13.4	A	329	A	7.8	A	18.6	A	10.2	A
USGS	294643095035200	2018-02-06 20:45	CST	13.4	A	329	A	7.8	A	19.1	A	10.2	A
USGS	294643095035200	2018-02-06 21:00	CST	13.4	A	329	A	7.8	A	19.4	A	10.2	A
USGS	294643095035200	2018-02-06 21:15	CST	13.4	A	329	A	7.8	A	18.9	A	10.2	A
USGS	294643095035200	2018-02-06 21:30	CST	13.4	A	329	A	7.8	A	18.4	A	10.2	A
USGS	294643095035200	2018-02-06 21:45	CST	13.4	A	329	A	7.8	A	18.7	A	10.2	A
USGS	294643095035200	2018-02-06 22:00	CST	13.4	A	328	A	7.8	A	18.9	A	10.2	A
USGS	294643095035200	2018-02-06 22:15	CST	13.4	A	329	A	7.8	A	19.1	A	10.2	A
USGS	294643095035200	2018-02-06 22:30	CST	13.5	A	329	A	7.8	A	19.4	A	10.2	A
USGS	294643095035200	2018-02-06 22:45	CST	13.4	A	329	A	7.8	A	18.9	A	10.2	A
USGS	294643095035200	2018-02-06 23:00	CST	13.5	A	334	A	7.8	A	19.2	A	10.2	A
USGS	294643095035200	2018-02-06 23:15	CST	13.5	A	330	A	7.8	A	19.1	A	10.2	A
USGS	294643095035200	2018-02-06 23:30	CST	13.5	A	329	A	7.8	A	19.0	A	10.2	A
USGS	294643095035200	2018-02-06 23:45	CST	13.5	A	330	A	7.8	A	19.1	A	10.2	A
USGS	294643095035200	2018-02-07 00:00	CST	13.5	A	330	A	7.8	A	18.6	A	10.2	A
USGS	294643095035200	2018-02-07 00:15	CST	13.6	A	330	A	7.8	A	18.7	A	10.2	A
USGS	294643095035200	2018-02-07 00:30	CST	13.6	A	330	A	7.8	A	18.8	A	10.2	A
USGS	294643095035200	2018-02-07 00:45	CST	13.6	A	330	A	7.8	A	18.6	A	10.2	A
USGS	294643095035200	2018-02-07 01:00	CST	13.6	A	330	A	7.8	A	18.7	A	10.2	A
USGS	294643095035200	2018-02-07 01:15	CST	13.6	A	330	A	7.8	A	18.7	A	10.2	A
USGS	294643095035200	2018-02-07 01:30	CST	13.6	A	330	A	7.8	A	19.1	A	10.2	A
USGS	294643095035200	2018-02-07 01:45	CST	13.6	A	330	A	7.8	A	18.6	A	10.2	A
USGS	294643095035200	2018-02-07 02:00	CST	13.6	A	330	A	7.8	A	18.9	A	10.2	A
USGS	294643095035200	2018-02-07 02:15	CST	13.6	A	331	A	7.8	A	18.7	A	10.2	A
USGS	294643095035200	2018-02-07 02:30	CST	13.5	A	330	A	7.8	A	18.8	A	10.1	A
USGS	294643095035200	2018-02-07 02:45	CST	13.5	A	330	A	7.8	A	18.8	A	10.2	A
USGS	294643095035200	2018-02-07 03:00	CST	13.5	A	331	A	7.8	A	18.7	A	10.1	A
USGS	294643095035200	2018-02-07 03:15	CST	13.5	A	331	A	7.7	A	18.8	A	10.1	A
USGS	294643095035200	2018-02-07 03:30	CST	13.5	A	331	A	7.8	A	18.7	A	10.1	A
USGS	294643095035200	2018-02-07 03:45	CST	13.5	A	331	A	7.8	A	18.9	A	10.1	A
USGS	294643095035200	2018-02-07 04:00	CST	13.5	A	331	A	7.8	A	18.9	A	10.1	A
USGS	294643095035200	2018-02-07 04:15	CST	13.4	A	330	A	7.8	A	18.9	A	10.1	A
USGS	294643095035200	2018-02-07 04:30	CST	13.4	A	331	A	7.8	A	18.8	A	10.1	A
USGS	294643095035200	2018-02-07 04:45	CST	13.4	A	330	A	7.8	A	19.0	A	10.1	A
USGS	294643095035200	2018-02-07 05:00	CST	13.4	A	331	A	7.8	A	18.8	A	10.1	A
USGS	294643095035200	2018-02-07 05:15	CST	13.4	A	331	A	7.7	A	18.8	A	10.1	A
USGS	294643095035200	2018-02-07 05:30	CST	13.4	A	331	A	7.7	A	19.2	A	10.1	A
USGS	294643095035200	2018-02-07 05:45	CST	13.4	A	332	A	7.8	A	19.2	A	10.1	A
USGS	294643095035200	2018-02-07 06:00	CST	13.4	A	331	A	7.7	A	19.0	A	10.1	A
USGS	294643095035200	2018-02-07 06:15	CST	13.4	A	332	A	7.8	A	19.3	A	10.1	A
USGS	294643095035200	2018-02-07 06:30	CST	13.3	A	331	A	7.7	A	19.1	A	10.1	A
USGS	294643095035200	2018-02-07 06:45	CST	13.3	A	331	A	7.7	A	19.2	A	10.1	A
USGS	294643095035200	2018-02-07 07:00	CST	13.3	A	331	A	7.8	A	19.2	A	10.1	A
USGS	294643095035200	2018-02-07 07:15	CST	13.3	A	331	A	7.8	A	19.1	A	10.1	A
USGS	294643095035200	2018-02-07 07:30	CST	13.3	A	331	A	7.8	A	18.9	A	10.1	A
USGS	294643095035200	2018-02-07 07:45	CST	13.3	A	332	A	7.7	A	19.6	A	10.1	A
USGS	294643095035200	2018-02-07 08:00	CST	13.3	A	331	A	7.7	A	19.7	A	10.1	A
USGS	294643095035200	2018-02-07 08:15	CST	13.2	A	330	A	7.7	A	19.6	A	10.1	A
USGS	294643095035200	2018-02-07 08:30	CST	13.2	A	330	A	7.7	A	19.8	A	10.1	A
USGS	294643095035200	2018-02-07 08:45	CST	13.2	A	330	A	7.8	A	19.6	A	10.1	A
USGS	294643095035200	2018-02-07 09:00	CST	13.2	A	330	A	7.7	A	20.0	A	10.1	A
USGS	294643095035200	2018-02-07 09:15	CST	13.2	A	331	A	7.8	A	19.7	A	10.1	A
USGS	294643095035200	2018-02-07 09:30	CST	13.2	A	331	A	7.8	A	20.3	A	10.1	A
USGS	294643095035200	2018-02-07 09:45	CST	13.2	A	331	A	7.7	A	19.8	A	10.1	A
USGS	294643095035200	2018-02-07 10:00	CST	13.2	A	330	A	7.8	A	19.4	A	10.1	A
USGS	294643095035200	2018-02-07 10:15	CST	13.2	A	331	A	7.7	A	19.7	A	10.1	A
USGS	294643095035200	2018-02-07 10:30	CST	13.2	A	331	A	7.8	A	19.7	A	10.1	A
USGS	294643095035200	2018-02-07 10:45	CST	13.2	A	331	A	7.7	A	19.7	A	10.1	A
USGS	294643095035200	2018-02-07 11:00	CST	13.2	A	331	A	7.8	A	19.5	A	10.1	A
USGS	294643095035200	2018-02-07 11:15	CST	13.2	A	331	A	7.7	A	19.6	A	10.1	A
USGS	294643095035200	2018-02-07 11:30	CST	13.1	A	331	A	7.7	A	19.7	A	10.2	A
USGS	294643095035200	2018-02-07 11:45	CST	13.1	A	331	A	7.8	A	19.4	A	10.2	A
USGS	294643095035200	2018-02-07 12:00	CST	13.1	A	331	A	7.8	A	19.6	A	10.2	A
USGS	294643095035200	2018-02-07 12:15	CST	13.1	A	331	A	7.7	A	19.6	A	10.2	A
USGS	294643095035200	2018-02-07 12:30	CST	13.1	A	331	A	7.8	A	19.8	A	10.2	A
USGS	294643095035200	2018-02-07 12:45	CST	13.1	A	331	A	7.7	A	19.5	A	10.2	A
USGS	294643095035200	2018-02-07 13:00	CST	13.1	A	331	A	7.8	A	19.4	A	10.2	A
USGS	294643095035200	2018-02-07 13:15	CST	13.1	A	328	A	7.8	A	18.5	A	10.2	A
USGS	294643095035200	2018-02-07 13:30	CST	13.1	A	331	A	7.8	A	19.3	A	10.2	A
USGS	294643095035200	2018-02-07 13:45	CST	13.1	A	331	A	7.8	A	19.0	A	10.2	A
USGS	294643095035200	2018-02-07 14:00	CST	13.1	A	331	A	7.8	A	19.4	A	10.2	A
USGS	294643095035200	2018-02-07 14:15	CST	13.1	A	331	A	7.8	A	19.6	A	10.2	A
USGS	294643095035200	2018-02-07 14:30	CST	13.1	A	331	A	7.8	A	20.1	A	10.2	A
USGS	294643095035200	2018-02-07 14:45	CST	13.1	A	331	A	7.8	A	19.6	A	10.2	A
USGS	294643095035200	2018-02-07 15:00	CST	13.1	A	331	A	7.8	A	19.6	A	10.2	A
USGS	294643095035200	2018-02-07 15:15	CST	13.1	A	331	A	7.8	A	19.5	A	10.2	A
USGS	294643095035200	2018-02-07 15:30	CST	13.0	A	331	A	7.8	A	19.3	A	10.2	A
USGS	294643095035200	2018-02-07 15:45	CST	13.0	A	331	A	7.8	A	19.8	A	10.2	A
USGS	294643095035200	2018-02-07 16:00	CST	13.0	A	332	A	7.8	A	19.4	A	10.2	A
USGS	294643095035200	2018-02-07 16:15	CST	13.0	A	332	A	7.8	A	19.4	A	10.2	A
USGS	294643095035200	2018-02-07 16:30	CST	13.0	A	332	A	7.8	A	19.2	A	10.2	A
USGS	294643095035200	2018-02-07 16:45	CST	13.0	A	332	A	7.8	A	19.4	A	10.2	A
USGS	294643095035200	2018-02-07 17:00	CST	13.0	A	332	A	7.8	A	19.4	A	10.2	A
USGS	294643095035200	2018-02-07 17:15	CST	13.0	A	332	A	7.8	A	19.2	A	10.2	A
USGS	294643095035200	2018-02-07 17:30	CST	13.0	A	332	A	7.8	A	19.4	A	10.2	A
USGS	294643095035200	2018-02-07 17:45	CST	13.0	A	332	A	7.8	A	19.7	A	10.2	A
USGS	294643095035200	2018-02-07 18:00	CST	13.0	A	333	A	7.8	A	19.4	A	10.2	A
USGS	294643095035200	2018-02-07 18:15	CST	13.0	A	333	A	7.8	A	19.3	A	10.2	A
USGS	294643095035200	2018-02-07 18:30	CST	13.0	A	332	A	7.8	A	19.1	A	10.2	A
USGS	294643095035200	2018-02-07 18:45	CST	13.0	A	331	A	7.8	A	18.9	A	10.2	A
USGS	294643095035200	2018-02-07 19:00	CST	12.9	A	333	A	7.8	A	19.1	A	10.2	A
USGS	294643095035200	2018-02-07 19:15	CST	12.9	A	333	A	7.8	A	19.3	A	10.2	A
USGS	294643095035200	2018-02-07 19:30	CST	12.9	A	333	A	7.8	A	19.1	A	10.2	A
USGS	294643095035200	2018-02-07 19:45	CST	12.9	A	332	A	7.8	A	19.0	A	10.2	A
USGS	294643095035200	2018-02-07 20:00	CST	12.9	A	333	A	7.8	A	19.2	A	10.2	A
USGS	294643095035200	2018-02-07 20:15	CST	12.9	A	333	A	7.8	A	19.4	A	10.2	A
USGS	294643095035200	2018-02-07 20:30	CST	12.9	A	333	A	7.8	A	19.3	A	10.2	A
USGS	294643095035200	2018-02-07 20:45	CST	12.9	A	333	A	7.8	A	19.1	A	10.2	A
USGS	294643095035200	2018-02-07 21:00	CST	12.9	A	333	A	7.8	A	19.0	A	10.2	A
USGS	294643095035200	2018-02-07 21:15	CST	12.9	A	333	A	7.8	A	19.1	A	10.2	A
USGS	294643095035200	2018-02-07 21:30	CST	12.9	A	333	A	7.8	A	19.2	A	10.2	A
USGS	294643095035200	2018-02-07 21:45	CST	12.9	A	332	A	7.8	A	19.5	A	10.2	A
USGS	294643095035200	2018-02-07 22:00	CST	12.9	A	333	A	7.8	A	19.1	A	10.2	A
USGS	294643095035200	2018-02-07 22:15	CST	12.8	A	333	A	7.8	A	19.1	A	10.2	A
USGS	294643095035200	2018-02-07 22:30	CST	12.8	A	333	A	7.8	A	19.0	A	10.2	A
USGS	294643095035200	2018-02-07 22:45	CST	12.8	A	333	A	7.8	A	19.0	A	10.2	A
USGS	294643095035200	2018-02-07 23:00	CST	12.8	A	333	A	7.8	A	19.1	A	10.2	A
USGS	294643095035200	2018-02-07 23:15	CST	12.8	A	333	A	7.8	A	19.3	A	10.2	A
USGS	294643095035200	2018-02-07 23:30	CST	12.8	A	333	A	7.8	A	19.1	A	10.2	A
USGS	294643095035200	2018-02-07 23:45	CST	12.8	A	333	A	7.8	A	18.8	A	10.1	A
USGS	294643095035200	2018-02-08 00:00	CST	12.8	A	333	A	7.8	A	19.5	A	10.1	A
USGS	294643095035200	2018-02-08 00:15	CST	12.8	A	333	A	7.8	A	18.7	A	10.1	A
USGS	294643095035200	2018-02-08 00:30	CST	12.7	A	333	A	7.8	A	18.8	A	10.2	A
USGS	294643095035200	2018-02-08 00:45	CST	12.7	A	333	A	7.8	A	18.9	A	10.1	A
USGS	294643095035200	2018-02-08 01:00	CST	12.7	A	333	A	7.8	A	18.7	A	10.1	A
USGS	294643095035200	2018-02-08 01:15	CST	12.7	A	333	A	7.8	A	18.8	A	10.1	A
USGS	294643095035200	2018-02-08 01:30	CST	12.7	A	334	A	7.8	A	19.0	A	10.1	A
USGS	294643095035200	2018-02-08 01:45	CST	12.7	A	334	A	7.8	A	18.8	A	10.2	A
USGS	294643095035200	2018-02-08 02:00	CST	12.7	A	333	A	7.8	A	19.0	A	10.2	A
USGS	294643095035200	2018-02-08 02:15	CST	12.7	A	334	A	7.8	A	18.9	A	10.2	A
USGS	294643095035200	2018-02-08 02:30	CST	12.6	A	334	A	7.8	A	18.6	A	10.2	A
USGS	294643095035200	2018-02-08 02:45	CST	12.7	A	334	A	7.8	A	18.8	A	10.2	A
USGS	294643095035200	2018-02-08 03:00	CST	12.6	A	334	A	7.8	A	18.7	A	10.2	A
USGS	294643095035200	2018-02-08 03:15	CST	12.6	A	334	A	7.7	A	18.6	A	10.2	A
USGS	294643095035200	2018-02-08 03:30	CST	12.6	A	334	A	7.7	A	18.4	A	10.2	A
USGS	294643095035200	2018-02-08 03:45	CST	12.6	A	334	A	7.7	A	18.7	A	10.2	A
USGS	294643095035200	2018-02-08 04:00	CST	12.6	A	334	A	7.8	A	18.5	A	10.2	A
USGS	294643095035200	2018-02-08 04:15	CST	12.6	A	334	A	7.7	A	18.6	A	10.2	A
USGS	294643095035200	2018-02-08 04:30	CST	12.5	A	334	A	7.8	A	18.3	A	10.2	A
USGS	294643095035200	2018-02-08 04:45	CST	12.6	A	334	A	7.7	A	18.7	A	10.2	A
USGS	294643095035200	2018-02-08 05:00	CST	12.5	A	334	A	7.8	A	18.8	A	10.2	A
USGS	294643095035200	2018-02-08 05:15	CST	12.6	A	334	A	7.7	A	18.7	A	10.2	A
USGS	294643095035200	2018-02-08 05:30	CST	12.5	A	334	A	7.8	A	18.3	A	10.2	A
USGS	294643095035200	2018-02-08 05:45	CST	12.5	A	334	A	7.7	A	18.5	A	10.2	A
USGS	294643095035200	2018-02-08 06:00	CST	12.5	A	334	A	7.7	A	18.5	A	10.2	A
USGS	294643095035200	2018-02-08 06:15	CST	12.4	A	334	A	7.8	A	18.4	A	10.2	A
USGS	294643095035200	2018-02-08 06:30	CST	12.5	A	333	A	7.7	A	18.4	A	10.2	A
USGS	294643095035200	2018-02-08 06:45	CST	12.4	A	333	A	7.8	A	18.2	A	10.1	A
USGS	294643095035200	2018-02-08 07:00	CST	12.4	A	335	A	7.7	A	18.5	A	10.2	A
USGS	294643095035200	2018-02-08 07:15	CST	12.4	A	337	A	7.7	A	18.5	A	10.2	A
USGS	294643095035200	2018-02-08 07:30	CST	12.4	A	336	A	7.7	A	17.5	A	10.2	A
USGS	294643095035200	2018-02-08 07:45	CST	12.4	A	336	A	7.7	A	18.5	A	10.2	A
USGS	294643095035200	2018-02-08 08:00	CST	12.4	A	336	A	7.7	A	18.4	A	10.2	A
USGS	294643095035200	2018-02-08 08:15	CST	12.4	A	338	A	7.7	A	18.4	A	10.2	A
USGS	294643095035200	2018-02-08 08:30	CST	12.4	A	335	A	7.7	A	18.5	A	10.2	A
USGS	294643095035200	2018-02-08 08:45	CST	12.4	A	335	A	7.7	A	18.2	A	10.2	A
USGS	294643095035200	2018-02-08 09:00	CST	12.4	A	335	A	7.7	A	18.2	A	10.2	A
USGS	294643095035200	2018-02-08 09:15	CST	12.4	A	335	A	7.7	A	18.2	A	10.2	A
USGS	294643095035200	2018-02-08 09:30	CST	12.4	A	336	A	7.7	A	17.9	A	10.2	A
USGS	294643095035200	2018-02-08 09:45	CST	12.4	A	338	A	7.7	A	18.1	A	10.2	A
USGS	294643095035200	2018-02-08 10:00	CST	12.4	A	338	A	7.7	A	18.4	A	10.2	A
USGS	294643095035200	2018-02-08 10:15	CST	12.4	A	334	A	7.7	A	18.5	A	10.2	A
USGS	294643095035200	2018-02-08 10:30	CST	12.4	A	336	A	7.7	A	18.3	A	10.2	A
USGS	294643095035200	2018-02-08 10:45	CST	12.5	A	335	A	7.7	A	18.2	A	10.3	A
USGS	294643095035200	2018-02-08 11:00	CST	12.5	A	336	A	7.7	A	18.6	A	10.3	A
USGS	294643095035200	2018-02-08 11:15	CST	12.5	A	335	A	7.7	A	18.3	A	10.3	A
